,id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,atl,last_updated
0,bitcoin,btc,Bitcoin,103577.0,2064544060174,1,72533732748.00,107357,103240,-1295.0395889575448,-1.23488,-2.97501e+10,-1.42053,19947384,19947384,21000000,126080,67.81,2025-11-11
1,ethereum,eth,Ethereum,3495.99,421200775773,2,36067836278.00,3640.36,3469.76,-17.1674126506191,-0.48866,-3.17495e+09,-0.74815,1696534.4352596,1696534.4352596,,4946.05,0.432979,2025-11-11
2,tether,usdt,Tether,0.999896,183470788675,3,120180368366.00,1,0.999226,-4.3588052177745e-05,-0.00436,2.54879e+06,0.00139,1834978488.6547,188964784658562,,1.32,0.572521,2025-11-11
3,ripple,xrp,XRP,2.43,146242178016,4,4499575820.00,2.58,2.43,-0.0884008654811805,-3.50414,-5.27647e+09,-3.48239,7199237,99985774127,100000000000,3.65,0.00268621,2025-11-11
4,binancecoin,bnb,BNB,976.61,134412151894,5,1663091993.00,1005.71,973.83,-1.0654005552828494,-0.10897,-2.58055e+08,-0.19162,137737214.5799999,137737213.68,200000000,1369.99,0.0398177,2025-11-11
5,solana,sol,Solana,160.63,88911644138,6,6079758067.00,171.62,160.24,-4.998957158480351,-3.0182,-2.86766e+09,-3.12451,5537391.3437848,613823112.84968,,293.31,0.500801,2025-11-11
6,usd-coin,usdc,USDC,0.9998,76045376884,7,7978237479.00,0.999956,0.999698,2.04914e-07,2e-05,2.13477e+08,0.28151,7687317.71368,78973.78876,,1.17,0.877647,2025-11-11
7,staked-ether,steth,Lido Staked Ether,3491.5,30135186907,8,69594198.00,3630.28,3471.58,-20.805184777726023,-0.59235,-2.3708e+08,-0.78058,8634532.311377518,8634533.83137752,,4932.89,482.9,2025-11-11
8,tron,trx,TRON,0.300582,28454723381,9,646475089.00,0.300594,0.293742,0.00684092,2.32889,6.47004e+08,2.32671,94668334931.1514,94668334931.1514,,0.431288,0.00180434,2025-11-11
9,dogecoin,doge,Dogecoin,0.176267,26727056424,10,1971605641.00,0.184541,0.175931,-0.001872707225801,-1.05126,-2.92118e+08,-1.08115,1517556383.52,1517326383.52,,0.731578,8.69e-05,2025-11-11
10,cardano,ada,Cardano,0.572201,20927471373,11,1002825416.00,0.603184,0.571779,-0.0090575378209413,-1.55826,-2.81675e+08,-1.32808,36595373755.915,4,45000000000,3.09,0.01925275,2025-11-11
11,figure-heloc,figr_heloc,Figure Heloc,1.036,13999142333,12,25851015.00,1.037,1.013,0.0225615,2.22715,2.97287e+08,2.16968,135181322.62,135181322.62,,1.37,0.155357,2025-11-11
12,wrapped-steth,wsteth,Wrapped stETH,4256.71,13923204431,13,36468133.00,4421.94,4233.16,-29.72276813477765,-0.69341,-1.68449e+08,-1.19538,32774.418647463,32774.418647463,,7256.02,558.54,2025-11-11
13,wrapped-bitcoin,wbtc,Wrapped Bitcoin,103405.0,13100348126,14,270224172.00,106751,103153,-1451.9661253342783,-1.38471,-1.79966e+08,-1.35514,126763.48883569,126763.48883569,126763,125932,3139.17,2025-11-11
14,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3782.23,12330236128,15,4617083.00,3940.21,3759.58,-28.00111173236519,-0.73489,-1.10467e+08,-0.88795,3264284.6477729,3264284.6477729,,5330.78,1501.6,2025-11-11
15,whitebit,wbt,WhiteBIT Coin,54.31,11662542375,16,85343763.00,55.67,54.15,-0.1561232629745177,-0.28665,-6.95551e+07,-0.59286,214772248,321272248,400000000,55.67,3.06,2025-11-11
16,chainlink,link,Chainlink,15.81,11007015330,17,751073674.00,16.69,15.76,-0.1765192216336739,-1.10392,-1.2433e+08,-1.11694,6968499.4525868,,1000000000,52.7,0.148183,2025-11-11
17,hyperliquid,hype,Hyperliquid,39.69,10721094840,18,431021842.00,42.23,39.49,-1.241335308573419,-3.03275,-3.86758e+08,-3.48184,2772999.4341414,9998352.4341414,1000000000,59.3,3.81,2025-11-11
18,bitcoin-cash,bch,Bitcoin Cash,511.69,10202869766,19,373265743.00,528.87,502.61,3.01,0.5927,5.73079e+07,0.56486,19951596.771678,19951618.646678,21000000,3785.82,76.93,2025-11-11
19,stellar,xlm,Stellar,0.289682,9284724946,20,200828068.00,0.303821,0.288853,-0.0082250140553385,-2.76093,-2.95615e+08,-3.08565,320871583.53252,1786883.67145,50001786883,0.875563,0.00047612,2025-11-11
20,usds,usds,USDS,0.998871,9201977556,21,23545512.00,1.001,0.998239,0.0006211,0.06222,-1.27138e+08,-1.36281,9782.771751,9782.771751,,1.057,0.948265,2025-11-11
21,wrapped-eeth,weeth,Wrapped eETH,3771.36,9111892634,22,8398764.00,3926.16,3749.38,-25.064548798371103,-0.66021,-1.1541e+08,-1.25074,2419644.4246242,2419644.4246242,,5296.78,1505.24,2025-11-11
22,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999797,8988667185,23,2700687025.00,1.001,0.998166,-0.0006530138335471,-0.06527,1.89708e+06,0.02111,8984993193.453934,8984993193.453934,,1.05,0.942186,2025-11-11
23,leo-token,leo,LEO Token,9.28,8551809645,24,4043104.00,9.28,9.08,0.164155,1.80104,1.53127e+08,1.82322,9222512.9,9852394,,10.14,0.799859,2025-11-11
24,ethena-usde,usde,Ethena USDe,0.999696,8417368046,25,172538512.00,1.001,0.997984,0.00074238,0.07432,-1.97413e+07,-0.23398,8421291157.552236,8421291157.552236,,1.032,0.929486,2025-11-11
25,zcash,zec,Zcash,500.84,8172409676,26,4548743740.00,597.41,463.78,-60.64352219965514,-10.80061,-9.20929e+08,-10.12751,1634.85448,16382343.9155448,21000000,3191.93,16.08,2025-11-11
26,weth,weth,WETH,3494.99,8160870278,27,294763721.00,3633.31,3474.56,-21.25620096019657,-0.60451,6.59995e+08,8.79891,2338913.6920186,2338913.6920186,,4950.08,82.1,2025-11-11
27,hedera-hashgraph,hbar,Hedera,0.183901,7799864974,28,336435207.00,0.195834,0.183233,-0.0045153082206999,-2.39645,-1.82539e+08,-2.28676,42475229924.52624,0,50000000000,0.569229,0.00986111,2025-11-11
28,litecoin,ltc,Litecoin,101.25,7742111278,29,1030288846.00,108.8,100.82,-5.478697815018037,-5.13333,-4.23483e+08,-5.18619,768351.98347135,7684.73347135,84000000,410.26,1.15,2025-11-11
29,sui,sui,Sui,2.08,7656384125,30,875648750.00,2.2,2.08,-0.0509115429231941,-2.38462,-2.30715e+08,-2.92522,36813254.198332,0,10000000000,5.35,0.364846,2025-11-11
30,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,103638.0,7618343893,31,482771305.00,107106,103271,-1428.160945478172,-1.35929,-1.24011e+08,-1.60173,73699.653894,73699.653894,,125954,57439,2025-11-11
31,avalanche-2,avax,Avalanche,17.64,7530152350,32,477537014.00,18.48,17.52,-0.1351758114698462,-0.76028,-5.71499e+07,-0.75323,4285371.68285,44213.75667,720000000,144.96,2.8,2025-11-11
32,monero,xmr,Monero,379.86,7012374748,33,199450770.00,404.41,368.17,-14.63801882135732,-3.71058,-2.64722e+08,-3.63774,1844674473955,1844674473955,,542.33,0.216177,2025-11-11
33,shiba-inu,shib,Shiba Inu,9.8e-06,5774054682,34,169264915.00,1.023e-05,9.79e-06,-1.35622743801e-07,-1.36444,-8.34948e+07,-1.42542,589244779736966.8,58907878235.1,,8.616e-05,5.6366e-11,2025-11-11
34,uniswap,uni,Uniswap,9.01,5663191511,35,4476720548.00,9.93,6.93,2.09,30.09743,1.30226e+09,29.86183,6298927.2713912,,1000000000,44.92,1.03,2025-11-11
35,polkadot,dot,Polkadot,3.21,5237026630,36,371984404.00,3.35,3.14,0.070277,2.23974,1.04739e+08,2.04078,16345756.621615,16345756.6192,,54.98,2.13,2025-11-11
36,the-open-network,ton,Toncoin,2.07,5152785086,37,132564345.00,2.16,2.07,-0.0317998822340022,-1.5105,-1.11109e+08,-2.11078,2486941865.937953,5145489874.9843,,8.25,0.519364,2025-11-11
37,crypto-com-chain,cro,Cronos,0.131091,4733195798,38,28133270.00,0.138551,0.130236,-2.6088239255345e-05,-0.0199,-1.42773e+07,-0.30073,361184194.54621,98148426545.83794,100000000000,0.965407,0.0121196,2025-11-11
38,ethena-staked-usde,susde,Ethena Staked USDe,1.2,4583080408,39,34430666.00,1.2,1.2,-9.861396391475e-06,-0.00082,-3.63701e+07,-0.78733,38113386.156534,38113386.156534,,1.29,1.012,2025-11-11
39,dai,dai,Dai,1.0,4573853590,40,103428265.00,1.001,0.998301,0.00039923,0.03993,-1.21239e+06,-0.0265,45753689.7365,45803195.125473,,1.22,0.88196,2025-11-11
