id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103577.0,2064544060174,1,2064544060174,72533732748.0,107357.0,103240.0,-1295.0395889575448,-1.23488,-29750081981.743652,-1.42053,19947384.0,19947384.0,21000000.0,126080.0,-17.97006,2025-10-06T18:57:42.558Z,67.81,152421.43669,2013-07-06T00:00:00.000Z,,2025-11-11T16:49:12.812Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3495.99,421200775773,2,421200775773,36067836278.0,3640.36,3469.76,-17.1674126506191,-0.48866,-3174953727.3606567,-0.74815,120696534.4352596,120696534.4352596,,4946.05,-29.63761,2025-08-24T19:21:03.333Z,0.432979,803670.83999,2015-10-20T00:00:00.000Z,"{'times': 44.120384859198545, 'currency': 'btc', 'percentage': 4412.038485919855}",2025-11-11T16:49:13.321Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999896,183470788675,3,188936918260,120180368366.0,1.0,0.999226,-4.3588052177745e-05,-0.00436,2548793.0,0.00139,183497848870.6547,188964784658.0562,,1.32,-24.41994,2018-07-24T00:00:00.000Z,0.572521,74.66543,2015-03-02T00:00:00.000Z,,2025-11-11T16:49:19.613Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.43,146242178016,4,243267654532,4499575820.0,2.58,2.43,-0.08840086548118053,-3.50414,-5276470205.454437,-3.48239,60107199237.0,99985774127.0,100000000000.0,3.65,-33.33358,2025-07-18T03:40:53.808Z,0.00268621,90395.99604,2014-05-22T00:00:00.000Z,,2025-11-11T16:49:18.878Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,976.61,134412151894,5,134412151015,1663091993.0,1005.71,973.83,-1.0654005552828494,-0.10897,-258055288.5472412,-0.19162,137737214.5799999,137737213.68,200000000.0,1369.99,-28.8608,2025-10-13T08:41:24.131Z,0.0398177,2447558.02445,2017-10-19T00:00:00.000Z,,2025-11-11T16:49:12.746Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,160.63,88911644138,6,98529145892,6079758067.0,171.62,160.24,-4.998957158480351,-3.0182,-2867656347.834442,-3.12451,553907391.3437848,613823112.8420968,,293.31,-45.35173,2025-01-19T11:15:27.957Z,0.500801,31906.69425,2020-05-11T19:35:23.449Z,,2025-11-11T16:49:18.527Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9998,76045376884,7,76045583598,7978237479.0,0.999956,0.999698,2.04914e-07,2e-05,213476516.0,0.28151,76060687317.71368,76060894073.78876,,1.17,-14.74404,2019-05-08T00:40:28.300Z,0.877647,13.91851,2023-03-11T08:02:13.981Z,,2025-11-11T16:49:20.143Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3491.5,30135186907,8,30135192212,69594198.0,3630.28,3471.58,-20.805184777726026,-0.59235,-237080236.41695404,-0.78058,8634532.311377518,8634533.83137752,,4932.89,-29.45015,2025-08-24T19:21:31.902Z,482.9,620.68265,2020-12-22T04:08:21.854Z,,2025-11-11T16:49:18.408Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.300582,28454723381,9,28454723381,646475089.0,0.300594,0.293742,0.00684092,2.32889,647003817.0,2.32671,94668334931.1514,94668334931.1514,,0.431288,-30.37374,2024-12-04T00:10:40.323Z,0.00180434,16542.63327,2017-11-12T00:00:00.000Z,"{'times': 157.20129198656048, 'currency': 'usd', 'percentage': 15720.129198656048}",2025-11-11T16:49:19.499Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.176267,26727056424,10,26727139213,1971605641.0,0.184541,0.175931,-0.001872707225801074,-1.05126,-292118356.85606,-1.08115,151730556383.7052,151731026383.7052,,0.731578,-75.9329,2021-05-08T05:08:23.458Z,8.69e-05,202503.04883,2015-05-06T00:00:00.000Z,,2025-11-11T16:49:19.112Z
