id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,102233.0,2040781173530,1,2040781173530,75551100813.0,104900.0,100992.0,-2540.9644102863385,-2.42518,-51733689890.43042,-2.47232,19948012.0,19948012.0,21000000.0,126080.0,-18.86033,2025-10-06T18:57:42.558Z,67.81,150766.12402,2013-07-06T00:00:00.000Z,,2025-11-13T14:05:06.516Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3431.12,414454171435,2,414454171435,38501330959.0,3577.51,3374.02,-137.817661664767,-3.86158,-16839226446.555542,-3.90436,120696447.9668856,120696447.9668856,,4946.05,-30.53269,2025-08-24T19:21:03.333Z,0.432979,793446.13874,2015-10-20T00:00:00.000Z,"{'times': 43.882285856206, 'currency': 'btc', 'percentage': 4388.228585620601}",2025-11-13T14:05:06.633Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999838,184014544825,3,189480599469,108255237429.0,1.001,0.999483,-4.789960339846e-05,-0.00479,494351520.0,0.26937,184044208799.5073,189511144596.0662,,1.32,-24.43289,2018-07-24T00:00:00.000Z,0.572521,74.63549,2015-03-02T00:00:00.000Z,,2025-11-13T14:05:06.626Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.46,147885943774,4,246001989087,5651973552.0,2.52,2.32,0.01694144,0.69335,948351730.0,0.64541,60107199237.0,99985774127.0,100000000000.0,3.65,-32.54106,2025-07-18T03:40:53.808Z,0.00268621,91471.79767,2014-05-22T00:00:00.000Z,,2025-11-13T14:05:06.525Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,958.44,132121509726,5,132121509726,1597300634.0,975.75,940.83,-15.600659916565405,-1.60164,-2313739927.6943054,-1.72108,137737127.42,137737117.51,200000000.0,1369.99,-29.97391,2025-10-13T08:41:24.131Z,0.0398177,2409259.79904,2017-10-19T00:00:00.000Z,,2025-11-13T14:05:06.226Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,153.75,85209881026,6,94427509800,5880002163.0,160.79,151.65,-6.401136369551693,-3.99681,-3635058769.190796,-4.09146,554029715.0136389,613962203.8430564,,293.31,-47.52625,2025-01-19T11:15:27.957Z,0.500801,30633.1096,2020-05-11T19:35:23.449Z,,2025-11-13T14:05:06.367Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999799,75998862093,7,76006646086,10097233164.0,0.999899,0.9997,1.78e-06,0.00018,-6603016.446258545,-0.00869,76014147187.15205,76021932745.47488,,1.17,-14.74485,2019-05-08T00:40:28.300Z,0.877647,13.91741,2023-03-11T08:02:13.981Z,,2025-11-13T14:05:06.690Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3430.34,29604014752,8,29604014752,86173208.0,3574.84,3377.28,-143.04841713123915,-4.00315,-1212809456.258194,-3.93554,8629973.159403712,8629973.159403712,,4932.89,-30.31811,2025-08-24T19:21:31.902Z,482.9,611.81622,2020-12-22T04:08:21.854Z,,2025-11-13T14:05:05.861Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.297389,28154226634,9,28154228665,703589215.0,0.299833,0.293879,-0.002444451828776895,-0.81527,-247173995.58556366,-0.87029,94669143676.0665,94669150506.0986,,0.431288,-31.02406,2024-12-04T00:10:40.323Z,0.00180434,16387.18716,2017-11-12T00:00:00.000Z,"{'times': 155.52036959534558, 'currency': 'usd', 'percentage': 15552.036959534558}",2025-11-13T14:05:06.676Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.174424,26496332248,10,26497102251,1996383828.0,0.17815,0.167535,-0.003438054144421138,-1.93299,-492919133.5099335,-1.82635,151751146383.7052,151756826383.7052,,0.731578,-76.14267,2021-05-08T05:08:23.458Z,8.69e-05,200737.15586,2015-05-06T00:00:00.000Z,,2025-11-13T14:05:06.413Z
